Name;CAPEC ID;Similarity_orca;Similarity_our
T-rAPP-06;CAPEC-586;;0.55269706
T-rAPP-06;CAPEC-593;0.5861227;0.58535665
T-rAPP-06;CAPEC-594;0.55173355;0.55604833
T-rAPP-06;CAPEC-6;0.6151837;0.61690015
T-rAPP-06;CAPEC-66;0.5855254;0.58927983
T-rAPP-06;CAPEC-664;0.5900047;0.5804355
T-rAPP-06;CAPEC-81;0.5504652;
T-rAPP-06;CAPEC-83;0.5543684;0.55737954
T-rAPP-06;CAPEC-84;;0.55276626
T-rAPP-06;CAPEC-88;0.56116503;0.5620307
T-rAPP-06;CAPEC-89;;0.55228376
T-rAPP-06;CAPEC-90;0.5528551;0.5584809
T-rAPP-06;CAPEC-93;0.588403;0.5811225
T-xApp-04;CAPEC-502;;0.55004376
